year,Corporate_profits_with_inventory_valuation_and_capital_consumption_adjustments,Domestic_industries,Financial,Nonfinancial,Rest_of_the_world,Receipts_from_the_rest_of_the_world,Less_Payments_to_the_rest_of_the_world,Corporate_profits_with_inventory_valuation_adjustment,Federal_Reserve_banks,Other,Manufacturing,Durable_goods,Primary_metal_industries,Fabricated_metal_products,Industrial_machinery_and_equipment,Electronic_and_other_electric_equipment,Motor_vehicles_and_equipment,Nondurable_goods,Food_and_kindred_products,Chemicals_and_allied_products,Petroleum_and_coal_products,Transportation_and_public_utilities,Transportation,Communications,Electric_gas_and_sanitary_services,Wholesale_trade,Retail_trade
1987,366.0,266.5,60.3,206.2,48.0,58.9,10.9,314.6,16.2,20.3,101.8,51.4,2.2,5.4,6.1,10.5,5.5,50.4,10.9,17.6,-1.4,42.0,1.2,22.0,18.9,18.9,23.3
1988,414.9,309.2,66.9,242.3,57.0,71.6,14.6,366.2,18.1,22.5,132.8,60.9,5.0,6.4,11.7,12.0,6.9,71.9,9.3,22.1,12.9,46.8,3.9,22.3,20.7,20.4,19.8
1989,414.2,305.9,78.3,227.6,67.1,75.5,8.4,373.1,20.6,20.5,122.3,57.0,5.2,6.1,13.2,12.9,4.4,65.3,10.6,22.0,6.7,41.9,-2.8,21.4,23.3,22.0,20.9
1990,417.2,315.1,89.6,225.5,76.1,80.9,4.8,391.2,21.8,21.3,120.9,46.1,2.3,5.6,12.1,12.0,-1.4,74.8,13.3,21.0,16.6,43.5,-5.8,25.7,23.7,19.4,20.3
1991,451.3,357.8,120.4,237.3,76.5,75.5,-1.0,434.2,20.7,24.3,109.3,39.3,0.6,4.9,6.2,13.0,-1.8,70.0,17.9,21.1,7.5,54.5,-1.5,29.1,26.9,22.3,26.9
1992,475.3,386.6,132.4,254.2,73.1,78.3,5.2,459.7,18.3,33.4,109.8,46.3,-2.5,5.5,7.5,13.4,5.6,63.5,17.9,20.4,-1.1,57.7,-3.2,33.5,27.3,25.3,28.1
1993,522.0,425.0,119.9,305.1,76.9,88.9,12.0,501.9,16.7,45.8,122.9,59.0,-1.2,6.9,6.2,16.8,13.1,63.9,15.8,20.7,1.9,70.1,3.1,38.3,28.7,26.5,39.7
1994,621.9,511.3,125.9,385.4,78.0,104.5,26.6,589.3,18.5,61.2,162.6,85.2,0.6,10.6,8.2,25.6,20.4,77.4,19.8,27.5,0.4,83.9,7.0,41.4,35.5,31.4,46.3
1995,703.0,574.0,140.3,433.7,92.9,127.4,34.4,667.0,22.9,73.1,199.8,98.6,6.3,11.9,16.6,28.5,10.3,101.2,27.6,33.9,6.7,89.0,8.4,39.5,41.1,28.0,43.9
1996,786.1,639.8,147.9,492.0,102.0,139.4,37.4,741.8,22.5,88.5,220.4,111.1,4.6,14.6,19.1,30.5,11.9,109.3,22.4,32.6,14.8,91.2,8.9,41.2,41.1,39.9,52.0
1997,865.8,703.4,162.2,541.2,107.6,155.5,47.9,811.0,24.3,100.3,248.5,131.8,4.7,17.0,19.9,42.3,10.9,116.7,25.0,38.6,17.0,81.0,9.6,30.7,40.7,48.1,63.4
1998,804.1,641.1,138.9,502.1,102.8,146.8,44.0,743.8,25.6,86.3,220.4,121.3,4.9,16.2,22.5,26.3,15.8,99.1,21.3,35.5,7.2,72.6,9.6,25.5,37.4,50.6,72.3
1999,830.2,640.2,154.6,485.6,122.0,177.3,55.3,762.2,26.7,97.6,219.4,107.7,0.4,15.8,13.5,23.4,12.9,111.6,27.5,34.8,6.0,49.3,2.8,7.7,38.8,46.8,72.5
2000,781.2,584.1,149.7,434.4,146.2,203.0,56.9,730.3,31.2,75.4,205.9,90.9,-0.7,15.1,18.2,23.5,2.1,115.0,25.2,27.6,29.2,33.8,5.2,0.6,28.0,50.4,68.9
